4304,b0019-nhaA
4305,b0020-nhaR
4306,b0034-caiF
4307,b0035-caiE
4308,b0036-caiD
4309,b0037-caiC
4310,b0038-caiB
4311,b0039-caiA
4312,b0040-caiT
4313,b0041-fixA
4314,b0042-fixB
4315,b0043-fixC
4316,b0044-fixX
4317,b1021-pgaD
4318,b1022-pgaC
4319,b1023-pgaB
4320,b1024-pgaA
4321,b1482-osmC
4322,b0066-thiQ
4323,b0067-thiP
4324,b0068-thiB
4325,b0069-sgrR
4326,b0070-setA
4327,b0162-cdaR
4328,b0225-yafQ
4329,b0226-dinJ
4330,b0623-cspE
4331,b2379-alaC
4332,b2787-gudD
4333,b2788-gudX
4334,b2789-gudP
4335,b3124-garK
4336,b3125-garR
4337,b3126-garL
4338,b3127-garP
4339,b3128-garD
4340,b0293-ecpA
4341,b0294-ecpR
4342,b0301-rclC
4343,b0303-rclB
4344,b0304-rclA
4345,b0305-rclR
4346,b0311-betA
4347,b0312-betB
4348,b0313-betI
4349,b0314-betT
4350,b0330-prpR
4351,b0333-prpC
4352,b0334-prpD
4353,b0335-prpE
4354,b0338-cynR
4355,b0339-cynT
4356,b0340-cynS
4357,b0341-cynX
4358,b1891-flhC
4359,b1892-flhD
4360,b1920-fliY
4361,b1921-fliZ
4362,b1922-fliA
4363,b1923-fliC
4364,b2734-pphB
4365,b0342-lacA
4366,b0343-lacY
4367,b0344-lacZ
4368,b0345-lacI
4369,b0346-mhpR
4370,b0347-mhpA
4371,b0348-mhpB
4372,b0349-mhpC
4373,b0350-mhpD
4374,b0351-mhpF
4375,b0352-mhpE
4376,b0413-nrdR
4377,b0435-bolA
4378,b0463-acrA
4379,b0464-acrR
4380,b0839-dacC
4381,b2234-nrdA
4382,b2235-nrdB
4383,b2236-yfaE
4384,b2673-nrdH
4385,b2674-nrdI
4386,b2675-nrdE
4387,b2676-nrdF
4388,b3699-gyrB
4389,b4150-ampC
4390,b4237-nrdG
4391,b4238-nrdD
4392,b0123-cueO
4393,b0484-copA
4394,b0487-cueR
4395,b0504-allS
4396,b0505-allA
4397,b0506-allR
4398,b0507-gcl
4399,b0508-hyi
4400,b0509-glxR
4401,b0511-ybbW
4402,b0512-allB
4403,b0513-ybbY
4404,b0514-glxK
4405,b0515-allE
4406,b0516-allC
4407,b0517-allD
4408,b0566-envY
4409,b0570-cusS
4410,b0571-cusR
4411,b0572-cusC
4412,b0573-cusF
4413,b0574-cusB
4414,b0575-cusA
4415,b0781-moaA
4416,b0782-moaB
4417,b0783-moaC
4418,b0784-moaD
4419,b0785-moaE
4420,b0929-ompF
4421,b2215-ompC
4422,b0411-tsx
4423,b0564-appY
4424,b0613-citG
4425,b0614-citX
4426,b0615-citF
4427,b0616-citE
4428,b0617-citD
4429,b0618-citC
4430,b0619-dpiB
4431,b0620-dpiA
4432,b0694-kdpE
4433,b0696-kdpC
4434,b0697-kdpB
4435,b0698-kdpA
4436,b0730-mngR
4437,b0732-mngB
4438,b0812-dps
4439,b0817-mntR
4440,b0840-deoR
4441,b1821-mntP
4442,b2392-mntH
4443,b2964-nupG
4444,b3093-exuT
4445,b3236-mdh
4446,b4381-deoC
4447,b4382-deoA
4448,b4383-deoB
4449,b4384-deoD
4450,b0277-yagK
4451,b0846-rcdA
4452,b0958-sulA
4453,b0995-torR
4454,b0996-torC
4455,b0997-torA
4456,b0998-torD
4457,b1014-putA
4458,b1015-putP
4459,b1037-csgG
4460,b1038-csgF
4461,b1039-csgE
4462,b1040-csgD
4463,b1111-comR
4464,b1112-bhsA
4465,b1162-bluR
4466,b1163-bluF
4467,b1164-ycgZ
4468,b1165-ymgA
4469,b1166-ariR
4470,b1167-ymgC
4471,b1198-dhaM
4472,b1199-dhaL
4473,b1200-dhaK
4474,b1201-dhaR
4475,b1536-ydeI
4476,b1597-asr
4477,b3508-yhiD
4478,b3509-hdeB
4479,b3510-hdeA
4480,b3516-gadX
4481,b3517-gadA
4482,b3707-tnaC
4483,b3708-tnaA
4484,b3709-tnaB
4485,b0048-folA
4486,b0112-aroP
4487,b0388-aroL
4488,b0389-yaiA
4489,b0390-aroM
4490,b0754-aroG
4491,b1296-puuP
4492,b1297-puuA
4493,b1298-puuD
4494,b1299-puuR
4495,b1300-puuC
4496,b1301-puuB
4497,b1302-puuE
4498,b1303-pspF
4499,b1304-pspA
4500,b1305-pspB
4501,b1306-pspC
4502,b1307-pspD
4503,b1308-pspE
4504,b1323-tyrR
4505,b1326-mpaA
4506,b1327-ycjY
4507,b1328-pgrR
4508,b1384-feaR
4509,b1385-feaB
4510,b1386-tynA
4511,b1907-tyrP
4512,b2600-tyrA
4513,b2601-aroF
4514,b3161-mtr
4515,b4050-pspG
4516,b4054-tyrB
4517,b0806-mcbA
4518,b1257-yciE
4519,b1258-yciF
4520,b1259-yciG
4521,b1387-paaZ
4522,b1388-paaA
4523,b1389-paaB
4524,b1390-paaC
4525,b1391-paaD
4526,b1393-paaF
4527,b1394-paaG
4528,b1395-paaH
4529,b1396-paaI
4530,b1397-paaJ
4531,b1398-paaK
4532,b1399-paaX
4533,b1450-mcbR
4534,b1499-ydeO
4535,b1500-safA
4536,b1507-hipA
4537,b1508-hipB
4538,b1511-lsrK
4539,b1512-lsrR
4540,b1513-lsrA
4541,b1514-lsrC
4542,b1515-lsrD
4543,b1516-lsrB
4544,b1517-lsrF
4545,b1518-lsrG
4546,b1519-tam
4547,b3512-gadE
4548,b3513-mdtE
4549,b3514-mdtF
4556,b1101-ptsG
4557,b1182-hlyE
4558,b1224-narG
4559,b1225-narH
4560,b1226-narJ
4561,b1227-narI
4562,b1530-marR
4563,b1531-marA
4564,b1532-marB
4565,b1562-hokD
4566,b1563-relE
4567,b1564-relB
4568,b1567-ydfW
4569,b1568-ydfX
4570,b1569-dicC
4571,b1570-dicA
4572,b1575-dicB
4573,b1576-ydfD
4574,b1577-ydfE
4575,b1579-intQ
4576,b1593-bioD2
4577,b1594-mlc
4578,b1608-rstA
4579,b1615-uidC
4580,b1616-uidB
4581,b1617-uidA
4582,b1618-uidR
4583,b1620-malI
4584,b1621-malX
4585,b1622-malY
4586,b1642-slyA
4587,b1649-nemR
4588,b1650-nemA
4589,b1651-gloA
4590,b1733-chbG
4591,b1734-chbF
4592,b1735-chbR
4593,b1736-chbA
4594,b1737-chbC
4595,b1738-chbB
4596,b1817-manX
4597,b1818-manY
4598,b1819-manZ
4599,b2415-ptsH
4600,b2416-ptsI
4601,b2417-crr
4602,b3418-malT
4609,b0093-ftsQ
4610,b0094-ftsA
4611,b0095-ftsZ
4612,b0365-tauA
4613,b0366-tauB
4614,b0367-tauC
4615,b0368-tauD
4616,b0933-ssuB
4617,b0934-ssuC
4618,b0935-ssuD
4619,b0936-ssuA
4620,b0937-ssuE
4621,b1707-ydiV
4622,b1743-spy
4623,b1827-kdgR
4624,b1850-eda
4625,b1851-edd
4626,b1916-sdiA
4627,b1987-cbl
4628,b2017-yefM
4629,b2074-mdtA
4630,b2075-mdtB
4631,b2076-mdtC
4632,b2077-mdtD
4633,b2078-baeS
4634,b2079-baeR
4635,b2470-acrD
4636,b3515-gadW
4643,b0756-galM
4644,b0757-galK
4645,b0758-galT
4646,b0759-galE
4647,b2105-rcnR
4648,b2106-rcnA
4649,b2107-rcnB
4650,b2125-yehT
4651,b2127-mlrA
4652,b2148-mglC
4653,b2149-mglA
4654,b2150-mglB
4655,b2151-galS
4656,b2163-yeiL
4657,b2837-galR
4658,b2943-galP
4659,b3185-rpmA
4660,b3186-rplU
4661,b3190-ibaG
4662,b4133-cadC
4663,b4354-yjiY
4664,b0076-leuO
4665,b2068-alkA
4666,b2212-alkB
4667,b2213-ada
4668,b2217-rcsB
4669,b2220-atoC
4670,b2221-atoD
4671,b2222-atoA
4672,b2223-atoE
4673,b2224-atoB
4674,b2289-lrhA
4675,b2364-dsdC
4676,b2365-dsdX
4677,b2366-dsdA
4678,b3721-bglB
4679,b3722-bglF
4680,b3723-bglG
4681,b4187-aidB
4682,b4313-fimE
4683,b2381-ypdB
4684,b2405-xapR
4685,b2406-xapB
4686,b2407-xapA
4687,b2427-murR
4688,b2428-murQ
4689,b2429-murP
4690,b2481-hyfA
4691,b2482-hyfB
4692,b2483-hyfC
4693,b2484-hyfD
4694,b2485-hyfE
4695,b2486-hyfF
4696,b2487-hyfG
4697,b2488-hyfH
4698,b2489-hyfI
4699,b2490-hyfJ
4700,b2491-hyfR
4701,b2492-focB
4702,b2537-hcaR
4703,b2538-hcaE
